Winter,Spring,Summer,Fall,Depth
0.06644664,0.06661968,0.06917384,0.07179463999999999,62.0
0.0664689,0.0666292,0.0691611,0.0717644,62.5
0.06649116000000001,0.06663872000000001,0.06914836,0.07173416,63.0
0.06651342,0.06664824000000001,0.06913562000000001,0.07170392,63.5
0.06653568,0.06665776000000001,0.06912288,0.07167368,64.0
0.06655794000000001,0.06666728000000001,0.06911014,0.07164344,64.5
0.0665802,0.06667680000000001,0.0690974,0.0716132,65.0
0.0666012,0.06668576000000001,0.06908564,0.07158366000000001,65.5
0.0666222,0.06669472000000001,0.06907388,0.07155412,66.0
0.06664320000000001,0.06670368,0.06906212,0.07152458,66.5
0.0666642,0.06671264,0.06905036,0.07149504,67.0
0.0666852,0.0667216,0.0690386,0.0714655,67.5
0.06670620000000001,0.06673056000000001,0.06902684,0.07143596,68.0
0.06672720000000001,0.06673952000000001,0.06901508,0.07140642,68.5
0.06674820000000001,0.06674848,0.06900332,0.07137688,69.0
0.0667692,0.06675744,0.06899156000000001,0.07134734,69.5
0.06679020000000001,0.0667664,0.06897980000000001,0.0713178,70.0
0.06680714000000001,0.06677676,0.0689749,0.07129316,70.5
0.06682408000000001,0.06678712,0.06897,0.07126852,71.0
0.06684102,0.06679748,0.0689651,0.07124388000000001,71.5
0.06685796000000001,0.06680784000000001,0.0689602,0.07121924,72.0
0.06687490000000001,0.0668182,0.0689553,0.0711946,72.5
0.06689184000000001,0.06682856,0.06895040000000001,0.07116996,73.0
0.06690878,0.06683892,0.0689455,0.07114532000000001,73.5
0.06692572000000001,0.06684928,0.0689406,0.07112068,74.0
0.06694266000000001,0.06685964,0.0689357,0.07109604,74.5
0.06695960000000001,0.06687,0.0689308,0.0710714,75.0
0.066975,0.06688274,0.06893038,0.0710511,75.5
0.0669904,0.06689548,0.06892996,0.0710308,76.0
0.0670058,0.06690822,0.06892954,0.0710105,76.5
0.0670212,0.06692096,0.06892912,0.0709902,77.0
0.0670366,0.0669337,0.06892870000000001,0.0709699,77.5
0.067052,0.06694644,0.06892828000000001,0.0709496,78.0
0.0670674,0.06695918,0.06892786000000001,0.0709293,78.5
0.0670828,0.06697192,0.06892744,0.070909,79.0
0.0670982,0.06698466,0.06892702,0.0708887,79.5
0.0671136,0.0669974,0.0689266,0.0708684,80.0
0.067129,0.0670072,0.06892156,0.07084698,80.5
0.06714439999999999,0.067017,0.06891652000000001,0.07082556,81.0
0.0671598,0.0670268,0.06891148,0.07080414,81.5
0.0671752,0.0670366,0.06890644,0.07078272,82.0
0.0671906,0.0670464,0.0689014,0.0707613,82.5
0.067206,0.0670562,0.06889636,0.07073988,83.0
0.0672214,0.067066,0.06889132,0.07071846,83.5
0.06723680000000001,0.0670758,0.06888628,0.07069704,84.0
0.06725220000000001,0.0670856,0.06888124,0.07067562,84.5
0.06726760000000001,0.0670954,0.0688762,0.0706542,85.0
0.06727852000000001,0.0671031,0.06886864,0.07064006,85.5
0.06728944,0.0671108,0.06886108,0.07062592,86.0
0.06730036,0.0671185,0.06885352,0.07061178,86.5
0.06731128,0.0671262,0.06884596,0.07059764,87.0
0.0673222,0.0671339,0.0688384,0.0705835,87.5
0.06733312000000001,0.06714160000000001,0.06883084,0.07056936,88.0
0.06734404000000001,0.06714930000000001,0.06882328,0.07055522,88.5
0.06735496,0.06715700000000001,0.06881572,0.07054108,89.0
0.06736588,0.06716470000000001,0.06880816000000001,0.07052694,89.5
0.0673768,0.06717240000000001,0.0688006,0.0705128,90.0
0.06738562000000001,0.0671766,0.0687908,0.07049124,90.5
0.06739444,0.06718080000000001,0.06878100000000001,0.07046968,91.0
0.06740325999999999,0.06718500000000001,0.0687712,0.07044812,91.5
0.06741208,0.0671892,0.0687614,0.07042656,92.0
0.0674209,0.06719340000000001,0.0687516,0.070405,92.5
0.06742972,0.06719760000000001,0.0687418,0.07038344,93.0
0.06743853999999999,0.0672018,0.068732,0.07036188,93.5
0.06744736,0.067206,0.0687222,0.07034032,94.0
0.06745618,0.06721020000000001,0.0687124,0.07031876000000001,94.5
0.067465,0.06721440000000001,0.0687026,0.0702972,95.0
0.06747802,0.06721832000000001,0.06869658000000001,0.07027676000000001,95.5
0.06749104,0.06722224,0.06869056,0.07025632000000001,96.0
0.06750405999999999,0.06722616000000001,0.06868454,0.07023588,96.5
0.06751708,0.06723008,0.06867852,0.07021544,97.0
0.0675301,0.067234,0.0686725,0.07019500000000001,97.5
0.06754312,0.06723792,0.06866648,0.07017456000000001,98.0
0.06755614,0.06724184,0.06866046,0.07015412000000001,98.5
0.06756915999999999,0.06724576,0.06865444000000001,0.07013368,99.0
0.06758217999999999,0.06724967999999999,0.06864842,0.07011324000000001,99.5
0.0675952,0.0672536,0.0686424,0.07009280000000001,100.0
0.06759749599999999,0.067255644,0.06863321600000001,0.07007544000000002,100.5
0.06759979199999999,0.067257688,0.068624032,0.07005808000000001,101.0
0.06760208799999999,0.067259732,0.068614848,0.07004072000000001,101.5
0.06760438399999999,0.067261776,0.06860566400000001,0.07002336,102.0
0.06760668,0.06726382,0.06859648,0.07000600000000001,102.5
0.067608976,0.067265864,0.068587296,0.06998864,103.0
0.067611272,0.067267908,0.06857811200000001,0.06997128000000001,103.5
0.067613568,0.067269952,0.068568928,0.06995392,104.0
0.067615864,0.067271996,0.068559744,0.06993656000000001,104.5
0.06761816,0.06727404,0.06855056000000001,0.06991920000000001,105.0
0.067620456,0.067276084,0.068541376,0.06990184,105.5
0.067622752,0.06727812799999999,0.068532192,0.06988448000000001,106.0
0.067625048,0.067280172,0.06852300800000001,0.06986712,106.5
0.06762734399999999,0.067282216,0.068513824,0.06984976000000001,107.0
0.06762963999999999,0.06728426,0.06850464,0.0698324,107.5
0.067631936,0.067286304,0.06849545600000001,0.06981504000000001,108.0
0.067634232,0.067288348,0.068486272,0.06979768000000001,108.5
0.067636528,0.067290392,0.068477088,0.06978032,109.0
0.067638824,0.067292436,0.06846790400000001,0.06976296000000001,109.5
0.06764112,0.06729448,0.06845872,0.0697456,110.0
0.067643416,0.067296524,0.068449536,0.06972824000000001,110.5
0.067645712,0.067298568,0.06844035200000001,0.06971088,111.0
0.067648008,0.067300612,0.068431168,0.06969352000000001,111.5
0.067650304,0.067302656,0.068421984,0.06967616,112.0
0.06765260000000001,0.0673047,0.0684128,0.0696588,112.5
0.067654896,0.067306744,0.068403616,0.06964144000000001,113.0
0.067657192,0.06730878800000001,0.068394432,0.06962408,113.5
0.067659488,0.067310832,0.068385248,0.06960672000000001,114.0
0.067661784,0.06731287600000001,0.068376064,0.06958936,114.5
0.06766408,0.06731492,0.06836688,0.06957200000000001,115.0
0.067666376,0.067316964,0.068357696,0.06955464,115.5
0.067668672,0.067319008,0.068348512,0.06953728,116.0
0.067670968,0.067321052,0.068339328,0.06951992,116.5
0.067673264,0.067323096,0.068330144,0.06950256,117.0
0.06767556,0.06732514,0.06832096,0.06948520000000001,117.5
0.06767785600000001,0.067327184,0.068311776,0.06946784,118.0
0.06768015200000001,0.067329228,0.068302592,0.06945048000000001,118.5
0.067682448,0.06733127200000001,0.068293408,0.06943312,119.0
0.067684744,0.067333316,0.068284224,0.06941576,119.5
0.06768704,0.06733536000000001,0.06827504,0.0693984,120.0
0.067689336,0.067337404,0.068265856,0.06938104,120.5
0.067691632,0.06733944800000001,0.068256672,0.06936368000000001,121.0
0.067693928,0.067341492,0.068247488,0.06934632,121.5
0.067696224,0.06734353600000001,0.068238304,0.06932896000000001,122.0
0.06769852000000001,0.06734558,0.06822912,0.0693116,122.5
0.06770081600000001,0.06734762400000001,0.068219936,0.06929424000000001,123.0
0.06770311200000001,0.067349668,0.068210752,0.06927688,123.5
0.06770540800000001,0.06735171200000001,0.068201568,0.06925952,124.0
0.06770770400000001,0.067353756,0.068192384,0.06924216,124.5
0.06771,0.06735580000000001,0.0681832,0.0692248,125.0
0.067704232,0.06735244000000001,0.068169508,0.069208112,125.5
0.067698464,0.06734908,0.068155816,0.069191424,126.0
0.06769269600000001,0.06734572000000001,0.068142124,0.069174736,126.5
0.06768692800000001,0.06734236,0.068128432,0.069158048,127.0
0.06768116,0.06733900000000001,0.06811474000000001,0.06914136,127.5
0.067675392,0.06733564,0.068101048,0.069124672,128.0
0.06766962400000001,0.06733228000000001,0.068087356,0.069107984,128.5
0.06766385600000001,0.06732892,0.068073664,0.069091296,129.0
0.067658088,0.06732556,0.068059972,0.06907460800000001,129.5
0.06765232,0.06732220000000001,0.06804628,0.06905792000000001,130.0
0.067646552,0.06731884,0.068032588,0.06904123200000001,130.5
0.06764078400000001,0.06731548000000001,0.068018896,0.06902454400000001,131.0
0.067635016,0.06731212,0.068005204,0.069007856,131.5
0.067629248,0.06730876000000001,0.067991512,0.068991168,132.0
0.06762348,0.0673054,0.06797782,0.06897448,132.5
0.06761771200000001,0.06730204000000001,0.067964128,0.068957792,133.0
0.06761194400000001,0.06729868000000001,0.067950436,0.068941104,133.5
0.067606176,0.06729532,0.06793674400000001,0.068924416,134.0
0.067600408,0.06729196000000001,0.067923052,0.068907728,134.5
0.06759464,0.0672886,0.06790936,0.06889104,135.0
0.06758887200000001,0.06728524000000001,0.067895668,0.068874352,135.5
0.067583104,0.06728188,0.067881976,0.068857664,136.0
0.067577336,0.06727852000000001,0.067868284,0.068840976,136.5
0.067571568,0.06727516,0.067854592,0.068824288,137.0
0.06756580000000001,0.0672718,0.06784090000000001,0.0688076,137.5
0.067560032,0.06726844000000001,0.067827208,0.06879091200000001,138.0
